date,text
2021-10-31 00:00:00," Российская корпорация ""Иркут"" и египетский холдинг KATO Investment на авиасалоне в Дубае подписали ряд соглашений о развитии сотрудничества по проекту новейшего российского пассажирского самолета МС-21 . ""В рамках программы сотрудничества заключено соглашение о закупке для авиакомпании Cairo Aviation (дочернее предприятие KATO Investment ) 6 самолетов МС-21. Соглашение также предусматривает опцион на 4 самолета МС-21"" , — сообщается в понедельник на сайте российской компании. Кроме того, в настоящее время стороны обсуждают создание регионального центра по ремонту и обслуживанию МС-21 в районе международного аэропорта Аль-Аламейн, расположенного в 184 километрах от Каира. Египетская сторона планирует бесплатно предоставить площадь, примыкающую к воздушной гавани, для размещения производственных сооружений. Отметим, что в настоящее время на Иркутском авиазаводе ведется сборка первых летных прототипов МС-21. Первый полет запланирован на весну-лето будущего года, серийное производство — на 2017 год. "
2021-10-30 00:00:00," Во второй день празднования 100-летия Пермского университета , 14 октября, на торжественном вечере в Театре оперы и балета были впервые вручены медали имени Николая Мешкова . Университет наградил президента АО ""ЭР-Телеком Холдинг"" Андрея Кузяева и компанию ""ЛУКОЙЛ-Пермь"" . По решению Попечительского совета ПГНИУ их отметили за значительный вклад в развитие университета, укрепление авторитета вуза в России и мире, а также рост его финансового благосостояния. Решение о присуждении медали было принято 28 сентября. Андрей Равелевич Кузяев – один из самых успешных выпускников экономического факультета Пермского университета . Он начал свой путь как бизнесмен и управленец в 1990-е годы и стал одним из основателей (создателей) крупнейшего предприятия Прикамья – ""ЛУКОЙЛ-Пермь"" , до 2003 года был его генеральным директором. Затем возглавил компанию ""ЛУКОЙЛ Оверсиз Холдинг Лтд"" , сейчас является главой ""Пермской финансово-производственной группы"" (компания управляет ОАО АКБ ""Урал ФД"" , АО ""ЭР-Телеком Холдинг "", ООО ""Нефтьсервисхолдинг"", PAN City Group и рядом других успешных организаций) и президентом холдинга ""ЭР-Телеком"". Также Андрей Равелевич – председатель Правления РОО ""Пермское землячество"" и совета директоров ОАО ""Фонд развития Дальнего Востока"" . Он всегда поддерживает связь с родным вузом: выступил одним из инициаторов создания Попечительского совета Пермского университета , при его поддержке вуз завершил ряд крупных инфраструктурных проектов, создает и реализует образовательные проекты, в том числе международного уровня. ""ЛУКОЙЛ-Пермь"" на протяжении многих лет сотрудничает с ПГНИУ . Выпускники пополняют кадровый состав компании. При поддержке нефтяников, в частности, реализуются научно-исследовательские, инфраструктурные, образовательные, социальные и культурные проекты и международные летние школы. Многие сотрудники компании входят в список благотворителей Пермского университета и жертвователей в Фонд целевого капитала . В 2016 году открыто новое направление магистратуры – ""Экология и природопользование нефтегазового комплекса"", а ученые получают поддержку на проведение научных изысканий в сфере рационального использования сырья и переработки отходов. В этом же году между ПГНИУ и ООО ""ЛУКОЙЛ-Пермь"" было подписано соглашение о сотрудничестве. Нефтяники вложили в обновление конференц-зала 20 миллионов рублей. Николай Васильевич Мешков – один из основателей высшего образования на Урале, промышленник и меценат. Он известен своей общественной деятельностью: фактически спас Пермь от голода в неурожайный год и построил Ночлежный дом для бедняков. Деятельность Николая Васильевича как пароходчика обеспечивала транспортную открытость Перми и развитие ее экономики. Пресс-служба Фото Константина Долгановского "
2021-11-08 00:00:00," На реализацию потребуется 13 лет, отметил гендиректор ""Вертолетов России"" Андрей Богинский . © Фото: пресс-служба президента РФ Россия и Китай заключили контракт на создание тяжелого вертолета, соглашение было подписано 25 июня. Об этом доложил президенту РФ Владимиру Путину генеральный директор холдинга ""Вертолеты России"" Андрей Богинский на встрече в Кремле. ""В 2016 году в ходе Вашего визита в Пекин было подписано межправсоглашение. С 2008 года шли интенсивные переговоры, и 25 июня текущего года мы подписали контракт"", - сказал он. По словам гендиректора, российская сторона будет заниматься разработкой и созданием таких агрегатов, как трансмиссия, рулевой винт и противообледенительная система, а также накачкой ресурса для данной машины. Совместный проект двух стран рассчитан на 13 лет. Также, по словам Богинского , холдинг с 2021 по 2025 годы планирует произвести свыше 1100 вертолетов. Межправительственное соглашение о создании перспективного тяжелого вертолета AHL (Advanced Heavy Lift) было подписано компанией ""Вертолеты России"" и китайской компанией Avicopter (входит в корпорацию Aviation Industry Corporation of China, AVIC) в Пекине в 2016 году. "
2021-11-06 00:00:00," Во Вьетнаме построят завод по производству тарного картона Сегодня, 11:27 Ожидается, что спрос на тарный картон во Вьетнаме будет расти из-за увеличения внутреннего потребления, а также за счет увеличения спроса из-за рубежа, особенно из Китая. Поэтому в компании Vina Kraft Paper приняли решение построить в стране новое производство. В последние годы в Азии вкладываются значительные инвестиции в строительство новых мощностей по производству бумаги. Во многом это связано с повышенным спросом на упаковочную бумагу со стороны Китая. Это одна из причин, по которой Vina Kraft Paper , совместное предприятие, основанное таиландской SCG Paper и японской упаковочной группой Rengo , решила инвестировать в еще один завод по производству тарного картона во Вьетнаме. Новый завод планируется построить недалеко от Ханоя на севере страны. Его производственная мощность составит 370 тыс. тонн футеровки и гофрированного материала в год, сообщается в официальном пресс-релизе Rengo и SCG Paper. Ввод предприятия в эксплуатацию запланирован на первый квартал 2024 года. Общий объем инвестиций в проект составит 280 млн евро. Также по теме: Председатель правления РАО ""Бумпром"" предложил меры по восстановлению и развитию производства растворимой целлюлозы в РФ Чем грозит подорожание макулатуры Hayat Kimya построит четвертый завод в России "
2021-11-09 00:00:00," Новости - Отрасли ТЭК Резиденты ТОСЭР ""Озерск"" инвестируют в проекты по соглашениям с ""Атом-ТОР"" более 400 млн рублей 09.11.21 14:50 В 2019 году компания ""Интео"" заключила соглашение с управляющей компанией ""Атом-ТОР"", чтобы реализовать на ТОСЭР ""Озерск"" в Челябинской области проект по производству машин и оборудования для газо- и нефтедобывающих компаний, производителей буровзрывных работ. К настоящему времени предприятие уже вышло на полную проектную мощность. Для Александра Федотова и его предприятия эта награда стала первой. ""Мы изготавливаем не только машины, но и линии, мини-заводы модульного типа по производству невзрывчатых компонентов эмульсионных взрывчатых веществ. Эмульсионные взрывчатые вещества в последние годы приобрели преимущественное развитие для проведения буровзрывных работ в карьерах и шахтах, при строительстве и разработке месторождений полезных ископаемых. Технология их производства совершенствуется, чтобы отвечать требованиям комплексной механизации и безопасности взрывных и буровзрывных работ на открытых и подземных разработках"", — рассказал генеральный директор ""Интео"" . Все этапы производственного процесса, начиная с проектирования, ведутся силами высококлассных специалистов ""Интео"" . На рынок машиностроение компание ""Интео"" удалось выйти благодаря внедрению собственных разработок. Как пояснил Александр Федотов , изначально расчет был другим. ""Сказался пандемийный год. Занимались конструкторской документацией и разрешительными документами. В прошлом году получили заказ на изготовление мини-завода по производству взрывчатых веществ. Линия проходит последние испытания, после чего отправится в город Дегтярск Свердловской области"", — сказал он. Специалисты ""Интео"" используют новое и современное оборудование. Тот же сварочный аппарат – последней модификации. Сейчас идет сборка трех смесительно-зарядных машин. Одна на базе КАМАЗа, две – на шасси ""IVECO"". Отправятся на Ямал и Кузбасс соответственно. В прошлом году такая же машина была куплена одной из якутских компаний, откуда уже пришел положительный отзыв о качестве сборки и возможностях. Более того, идут переговоры о покупке еще нескольких единиц техники. Генеральный директор АО ""Атом-ТОР"" Николай Пегин отметил, что производимая компанией ""Интео"" техника способна заменить дорогостоящие импортные аналоги. ""ТОСЭР, созданные в закрытых атомных городах, создавались как инструменты для решения актуальной задачи развития этих территорий, создания новых высококвалифицированных рабочих мест. Сегодня мы видим, что наши резиденты успешно запускают производства и вносят вклад в экономику регионов"". За два года ""Интео"" доказало высокую конкурентоспособность на рынке производства оборудования для буровзрывных работ. Предприятие эффективно осваивает смежные рыночные ниши, такие как проектирование и изготовление штучного оборудования в соответствии с техническим заданием заказчика, ремонт и модернизацию буровой техники, техническое обслуживание машин и оборудования. Нужно отметить, что сегодня ТОСЭР ""Озерск"" , расположенная в Челябинской области, в целом имеет репутацию территории реализации высокотехнологичных проектов. Здесь работают шесть резидентов, которые планируют создать около 200 рабочих мест для жителей города. По соглашениям с АО ""Атом-ТОР"" сумма заявленных инвестиций по проектам составляет более 400 млн рублей. "
2021-11-04 00:00:00," В Воронежской области дан старт первому в России производству сельхозмашин французской компании KUHN . Торжественная церемония пуска нового завода состоялась в Рамонском районе. По поручению губернатора Александра Гусева в открытии принял участие заместитель председателя правительства Воронежской области Виктор Логинов . Он передал поздравления главы региона, который отметил важность сотрудничества с KUHN Group в рамках приоритетного стратегического проекта ""Новая индустриализация региона"". Открывшийся завод уже устанавливает кооперационные связи с машиностроительными предприятиями Воронежской области, осуществляет контакты с местными вузами – в плане стажировки и дальнейшего трудоустройства студентов. В дальнейшем это сотрудничество будет расширяться. Производственная платформа введенного в строй дочернего предприятия ООО ""Кун Восток"" состоит из трех линий мощностью до 500 машин в год. В рамках строительства первой очереди также сданы в эксплуатацию склады готовой продукции (площадью 7 тыс. кв. метров) и запасных частей (на 5 тыс. палетомест). На территории расположен профессиональный учебный центр, шоу-рум с экспозицией и испытательный полигон площадью 10 га для демонстрации техники в работе. На воронежском предприятии наладят сборку наиболее востребованных у отечественных аграриев машин – почвообрабатывающих агрегатов, зерновых и пропашных сеялок, механизмов для внесения удобрений, опрыскивания и другой техники с использованием российских комплектующих. По словам генерального директора ООО ""Кун Восток"" Андрея Манзюка , перед заводом поставлена задача не просто выпускать в России доступную технику под известным европейским брендом, но и совершенствовать механизмы ее послепродажной поддержки, в том числе, с использованием потенциала дилерских центров. Общий объем инвестиций в проект оценивается в 3 млрд рублей. Развитие завода ""Кун Восток"" будет проходить в три этапа. Уже в рамках второй очереди проекта предполагается удвоение производственной площади и склада запасных частей. Третья очередь будет включать создание цехов металлообработки, литья, сварки и покраски. "
2021-11-08 00:00:00," Создание крупнейшего на юге России логистического центра, начавшегося в селе Чистенькое Симферопольского района, позволит снизить цены на сельхозпродукцию в Крыму. Об этом заявил директор компании-инвестора ""ПУД"" Артем Спиваков , передает 8 ноября пресс-служба Корпорации развития Республики Крым . Спиваков отметил, что на сегодняшний день в Крыму нет логистических центров класса ""А"". Поэтому у крымских производителей сельхозпродукции нет возможности размещать урожай фруктов и овощей на собственной территории. В результате урожай продается с низкой добавленной стоимостью. ""Результаты, которые планируется достичь в реализации проекта: снижение конечной стоимости сельхозпродукции отечественных производителей за счет уменьшения числа посредников и розничной цены на свежую продукцию примерно на 20%"" , — подчеркнул Спиваков. В свою очередь, глава минфина региона Ирина Кивико 8 ноября на церемонии начала строительства центра отметила, что реализация проекта не только позволит стабилизировать цены на сельхозпродукцию, но также создаст более 1,2 тыс. рабочих мест. По ее словам, объем инвестиций в проект составляет более 6 млрд рублей. "
2021-11-06 00:00:00," Renault планирует выпустить в России пять новых моделей автомобилей к 2025 году, первой из них станет обновленный Duster. Об этом сообщил гендиректор Renault Россия Ян Птачек на встрече с журналистами, пишет ТАСС. ""Мы уже вывели на рынок Renault Arkana в 2019 году и новый Kaptur в 2020 году. В целом с 2020 до 2025 года мы хотим запустить 6 новых моделей на российском рынке"", – сказал он. В компании также отметили, что презентация первой новинки – Renault Duster состоится 11 февраля 2021 года. Как ранее сообщали в Ассоциации европейского бизнеса , продажи Renault в 2020 году в России упали на 11%, до 128,4 тыс. штук. Тем не менее, компания занимает четвертое место по продажам в стране, уступая лишь традиционному лидеру "" Автовазу"" , а также южнокорейским Kia и Hyundai . Renault с 2005 года владеет производственной площадкой в Москве. Это завод полного цикла, на котором функционируют цеха сварки, окраски и сборки. На нем производятся такие модели автоконцерна, как Renault Kaptur, Duster, Arkana, а также Sandero и Sandero Stepway. В 2013-2019 годах объем инвестиций в развитие московского завода составил свыше 18 млрд рублей. Сообщение Renault готовит множество новинок для России появились сначала на 5 колесо. "
2021-11-10 00:00:00," В Бузулуке появится завод по переработке масличных культур за 13 миллиардов Компания ""Астон передовые технологии"" накануне, 9 ноября, представила в Оренбургской области инвестиционный проект строительства завода. Проект губернатору Денису Паслеру представил председатель совета директоров управляющей компании ""Астон передовые технологии"" Вадим Викулов . Ежегодный урожай подсолнечника в Оренбуржье составляет порядка 1 миллиона тонн. В регионе перерабатывается менее половины. По словам Паслера , компания ""Астон"" готова работать не только с подсолнечником, но и с льном и рапсом. Общий объем инвестиций составит более 13 млрд рублей. В рамках проекта планируется строительство завода с полным производственным циклом мощностью 3000 тонн в сутки. В комплекс также войдут котельная мощностью 130 тонн пара в час, элеватора на 200 тысяч тонн единовременного хранения и маслобаковое хозяйство мощностью единовременного хранения 20 тысяч тонн. Отмечается, что производство будет безотходным. Экстракционный шрот подсолнечника используется как комбикорм для животных и птицы. Также компания строила ТЭЦ , где в качестве топлива используют лузгу подсолнечника. Топлива хватает для того, чтобы существующие заводы полностью обеспечивали себя паром и электроэнергией. В Бузулуке планируется строительство такой ТЭЦ. Также технология производства на заводе также предполагает применение ""нулевого стока"", когда сточные воды очищаются и многократно используются. В планах развития предприятия – производство бутилированного масла под местным брендом. В настоящее время в Бузулуке идут подготовительные работы. Строительство завода начнется в 2022 году. Поставка основного технологического оборудования запланирована на июнь 2022 года. Пуско-наладочные работы — на 3-4 квартал 2023 года. "
2021-10-28 00:00:00," Это сделано с целью оптимизации затрат на строительство Проект аквапарка в Красноярске пересмотрен инвестором из-за роста цен на стройматериалы и водные аттракционы, сообщил мэр Красноярска Сергей Еремин , пишет ""КоммерсантЪ"". ""Это сделано с целью оптимизации затрат на строительство аквапарка. К примеру, сокращено количество этажей гостиницы: с 12 до восьми. Сейчас откорректированная проектная документация находится в Московской госэкспертизе . По своему инженерно-технологическому исполнению проект сложный, индивидуальный. Как признается сам инвестор, он попал не в лучшее время для строительства таких масштабных инфраструктурных объектов"",— сказал мэр. По его словам, на стройплощадке в настоящее время ведутся работы по прокладке электросетей. Ввести объект в эксплуатацию планируется в 2026 году. Работы по проекту ведется с декабря 2019 года. Ранее сообщалось, что инвестиции в проект составят более 1 млрд руб. Площадь аквапарка изначально заявлялась в 30 тыс. кв. м., он сможет единовременно принять 2,5 тыс. посетителей, пишет издание. Мы завели уютный канал в Telegram, куда выкладываем ссылки на самые интересные новости. Хотите узнавать о них первыми — подпишитесь в один клик. "
